"Language","App Name","Short Description","Full Description"
"en","Lumi: Learn Languages & Play","Interactive vocabulary games and language learning for kids with Lumi.","Welcome to Lumi, an interactive language and vocabulary learning app designed for children and young learners!

Lumi combines early education with engaging mini-games to help children build a solid foundation in multiple languages, including English, Spanish, Vietnamese, French, and German. Through speech practice, audio recognition, visual quizzes, and playful activities, discovering a new language is a joyful daily experience.

Key Features:

• Structured Vocabulary Lessons: Curated learning topics designed for young learners.
• Multi-Sensory Mini-Games: Play picture quizzes, match sounds, mix colors, and find hidden objects.
• Animated Mascot Lumi: A lively companion that reacts in real time, celebrates milestones, and keeps learners engaged.
• On-Device Progress Tracking: Review daily learning streaks, quiz scores, and vocabulary retention graphs offline.
• Speech Practice & Audio: Listen to clear pronunciations and practice speaking with interactive exercises.
• Safe Environment: Designed for kids with parental gate protection and no intrusive ads.

Lumi offers parents a structured and engaging way to introduce foreign languages at home. Download Lumi and begin your child's language learning journey today!"
"es","Lumi: Aprende idiomas","Aprende vocabulario e idiomas con juegos interactivos para niños con Lumi.","¡Te damos la bienvenida a Lumi, la aplicación interactiva para que los niños aprendan idiomas y vocabulario de forma amena y estructurada!

Lumi combina el aprendizaje con entretenidos minijuegos interactivos que ayudan a los niños a desarrollar una base sólida en varios idiomas, como inglés, español, vietnamita, francés y alemán. Mediante ejercicios de pronunciación, reconocimiento auditivo, cuestionarios visuales y divertidas actividades, aprender un nuevo idioma se convierte en una experiencia diaria estimulante.

Características principales:

• Lecciones de vocabulario estructuradas: Temas adaptados para el aprendizaje infantil temprano.
• Juegos multisensoriales: Resuelve cuestionarios ilustrados, empareja sonidos, mezcla colores y encuentra objetos ocultos.
• Mascota animada Lumi: Un simpático compañero que reacciona en tiempo real, celebra los logros y mantiene la motivación.
• Seguimiento del progreso: Consulta rachas diarias, puntuaciones y gráficos de vocabulario en el dispositivo.
• Práctica de pronunciación y audio: Escucha grabaciones claras y practica la voz con ejercicios interactivos.
• Entorno seguro: Diseñado para niños, con control parental y sin anuncios invasivos.

Lumi ayuda a las familias a introducir nuevos idiomas en casa de forma amena y organizada. ¡Descarga Lumi y acompaña a tus hijos en su aventura de aprendizaje!"
"vi","Lumi: Học từ vựng & chơi","Học ngoại ngữ và từ vựng qua trò chơi tương tác bổ ích cho bé cùng Lumi.","Chào mừng bé đến với Lumi - ứng dụng tương tác giúp trẻ em học ngoại ngữ và mở rộng vốn từ vựng một cách tự nhiên và bài bản!

Lumi kết hợp phương pháp giáo dục trực quan với các trò chơi nhỏ thú vị, hỗ trợ bé xây dựng nền tảng vững chắc trong các ngôn ngữ như tiếng Anh, tiếng Tây Ban Nha, tiếng Việt, tiếng Pháp và tiếng Đức. Qua luyện phát âm, nhận diện âm thanh, câu đố hình ảnh và hoạt động tương tác, việc khám phá ngôn ngữ mới sẽ trở thành niềm vui mỗi ngày.

Tính năng nổi bật:

• Bài học từ vựng bài bản: Các chủ đề quen thuộc, hình ảnh sinh động phù hợp với độ tuổi nhỏ.
• Trò chơi đa giác quan: Đố vui hình ảnh, ghép âm thanh chuẩn, pha màu sắc và tìm kiếm đồ vật ẩn giấu.
• Bạn đồng hành Lumi: Nhân vật hoạt họa đáng yêu tương tác sinh động, chúc mừng thành tích và tạo động lực học tập.
• Theo dõi tiến độ trực quan: Ghi nhận chuỗi ngày học liên tục, điểm số và biểu đồ ghi nhớ từ vựng ngay trên máy.
• Luyện nghe và phát âm: Nghe phát âm rõ ràng và thực hành nói qua các bài tập tương tác.
• An toàn cho trẻ em: Giao diện thân thiện, có khóa phụ huynh an toàn và không chứa quảng cáo gây phiền.

Lumi là giải pháp lý tưởng giúp phụ huynh đồng hành cùng con tiếp cận ngoại ngữ ngay từ sớm. Hãy tải Lumi để bắt đầu hành trình học tập bổ ích cho bé ngay hôm nay!"
"fr","Lumi: Apprendre les langues","Apprentissage des langues et jeux de vocabulaire interactifs pour enfants.","Bienvenue sur Lumi, l'application interactive conçue pour accompagner les enfants dans l'apprentissage des langues et du vocabulaire !

Lumi allie pédagogie précoce et mini-jeux stimulants pour aider les jeunes apprenants à acquérir des bases solides dans plusieurs langues, dont l'anglais, l'espagnol, le vietnamien, le français et l'allemand. Grâce à des exercices de prononciation, de reconnaissance sonore, des quiz visuels et des activités manuelles, découvrir une nouvelle langue devient une habitude enrichissante.

Points forts :

• Leçons de vocabulaire structurées : Des thématiques adaptées pour éveiller la curiosité des plus jeunes.
• Jeux multisensoriels : Quiz en images, association de sons, mélange de couleurs et recherche d'objets cachés.
• Mascotte animée Lumi : Un personnage bienveillant qui réagit en direct, célèbre les réussites et stimule l'attention.
• Suivi de la progression : Consultez les séries quotidiennes, les scores et les graphiques de rétention directement sur l'appareil.
• Pratique orale et écoute : Écoutez une prononciation soignée et entraînez-vous à parler avec des modules interactifs.
• Espace sécurisé : Pensé pour les enfants, protégé par un contrôle parental et exempt de publicités intrusives.

Lumi est l'outil parfait pour initier les enfants aux langues étrangères en famille. Téléchargez Lumi dès maintenant pour débuter cette belle aventure linguistique !"
"de","Lumi: Sprachen & Vokabeln","Interaktives Sprachenlernen und Wortschatzspiele für Kinder mit Lumi.","Willkommen bei Lumi, der interaktiven Lern-App, mit der Kinder spielerisch Sprachen und neue Vokabeln entdecken!

Lumi verbindet kindgerechte Lernmethoden mit spannenden Mini-Spielen, um ein solides Fundament in mehreren Sprachen wie Englisch, Spanisch, Vietnamesisch, Französisch und Deutsch aufzubauen. Durch Sprechübungen, Audio-Zuordnung, Bilderrätsel und abwechslungsreiche Aufgaben wird das Lernen einer neuen Sprache zu einem freudigen Tageserlebnis.

Wichtige Funktionen:

• Strukturierte Wortschatz-Lektionen: Themenbereiche, die gezielt auf junge Lernende abgestimmt sind.
• Multisensorische Lernspiele: Bildquizze lösen, Geräusche zuordnen, Farben mischen und versteckte Objekte aufspüren.
• Animiertes Maskottchen Lumi: Ein freundlicher Begleiter, der in Echtzeit reagiert, Erfolge feiert und motiviert.
• Lokaler Lernfortschritt: Tägliche Lernserien, Testergebnisse und Wortschatz-Statistiken übersichtlich auf dem Gerät einsehen.
• Aussprache & Sprechpraxis: Klare Sprachbeispiele anhören und aktiv mit interaktiven Audio-Übungen sprechen lernen.
• Sicher für Kinder: Geschützter Elternbereich, vollständig offline nutzbar und ohne störende Werbung.

Lumi bietet Eltern eine verlässliche und motivierende Möglichkeit, Kindern Fremdsprachen näherzubringen. Lade Lumi jetzt herunter und starte das nächste Sprachabenteuer!"
"pt","Lumi: Aprender Idiomas","Jogos educativos de vocabulário e aprendizado de idiomas para crianças.","Boas-vindas ao Lumi, o aplicativo interativo desenvolvido para ajudar crianças a aprender idiomas e vocabulário de forma lúdica e eficiente!

O Lumi une métodos de aprendizagem a minijogos envolventes para construir uma base sólida em vários idiomas, incluindo inglês, espanhol, vietnamita, francês e alemão. Com prática de fala, reconhecimento de áudio, testes visuais e atividades práticas, descobrir um novo idioma torna-se uma experiência diária muito proveitosa.

Recursos principais:

• Lições de vocabulário estruturadas: Tópicos adequados para o aprendizado infantil inicial.
• Jogos multissensoriais: Testes com imagens, combinação de sons, mistura de cores e caça a objetos escondidos.
• Mascote animado Lumi: Um companheiro simpático que reage em tempo real, comemora conquistas e mantém o engajamento.
• Acompanhamento de progresso: Veja sequências diárias, pontuações e gráficos de retenção diretamente no aparelho.
• Prática de fala e áudio: Ouça pronúncias nítidas e pratique a fala com tarefas interativas.
• Ambiente seguro para crianças: Conta com portão de segurança para pais e não contém anúncios invasivos.

O Lumi é ideal para famílias que desejam apresentar novos idiomas aos filhos de maneira tranquila e estruturada. Baixe o Lumi hoje mesmo e comece essa jornada!"
"it","Lumi: Impara le Lingue","Giochi educativi e apprendimento delle lingue per bambini con Lumi.","Benvenuto su Lumi, l'applicazione interattiva ideata per accompagnare i bambini nell'apprendimento delle lingue e del vocabolario!

Lumi combina la didattica con divertenti minigiochi per costruire solide basi in diverse lingue, tra cui inglese, spagnolo, vietnamita, francese e tedesco. Attraverso esercizi vocali, riconoscimento sonoro, quiz illustrati e attività dinamiche, imparare una nuova lingua diventa una piacevole scoperta quotidiana.

Caratteristiche principali:

• Lezioni di vocabolario strutturate: Argomenti selezionati per l'apprendimento della prima infanzia.
• Giochi multisensoriali: Risolvi quiz illustrati, associa i suoni, mescola i colori e trova gli oggetti nascosti.
• Mascotte animata Lumi: Un dolce amico che reagisce in tempo reale, festeggia i progressi e sostiene la motivazione.
• Monitoraggio dei risultati: Controlla le serie di studio giornaliere, i punteggi e i grafici direttamente sul dispositivo.
• Esercizi di pronuncia e ascolto: Ascolta pronunce chiare ed esercitati a parlare con moduli audio interattivi.
• Ambiente sicuro: Pensato per i più piccoli con blocco genitori protetto e senza annunci invasivi.

Lumi è la scelta perfetta per i genitori che desiderano introdurre le lingue straniere a casa con serenità. Scarica Lumi oggi stesso e inizia il percorso educativo con tuo figlio!"
"ja","Lumi: 子供の外国語学習＆単語","Lumiと楽しく学ぶ子供向け外国語と単語の知育ゲーム。","子供たちのための対話型言語・単語学習アプリ「Lumi」へようこそ！

Lumiは、幼児教育と楽しい知育ミニゲームを融合させ、英語、スペイン語、ベトナム語、フランス語、ドイツ語などの外国語の基礎作りを応援します。発音練習、音声聞き分け、絵合わせクイズ、体を動かすアクティビティを通じて、新しい言葉との出会いが毎日の楽しい習慣になります。

主な特徴：

• 体系的な単語レッスン：幼少期の学習にぴったりな親しみやすいテーマ構成。
• 五感を使うミニゲーム：イラストクイズ、音の聞き分け、色混ぜあそび、アイテム探し。
• アニメーション相棒「Lumi」：リアルタイムに表情を変え、成長を一緒に喜び、意欲を高めるマスコット。
• 端末内の学習記録：継続日数やスコア、単語定着グラフをオフラインでいつでも確認可能。
• 正しい発音とリスニング：明瞭な音声を聞き、マイクを使った発話練習でスピーキング力を養成。
• 安心のキッズ保護機能：保護者認証ロック（ペアレンタルゲート）搭載、邪魔な広告なし。

ご家庭で楽しく体系的に外国語に親しめる環境をお届けします。今すぐLumiをダウンロードして、お子様と一緒に言葉の冒険をはじめましょう！"
"ko","Lumi: 어린이 외국어 단어 학습","Lumi와 함께하는 어린이 외국어 및 단어 학습 인터랙티브 게임.","어린이와 유아를 위한 대화형 외국어 및 어휘 학습 앱, Lumi에 오신 것을 환영합니다!

Lumi는 체계적인 학습법과 재미있는 미니게임을 결합하여 아이들이 영어, 스페인어, 베트남어, 프랑스어, 독일어 등 다양한 언어의 기초를 탄탄하게 다질 수 있도록 돕습니다. 발음 연습, 소리 인지, 그림 퀴즈, 활동적인 퀘스트를 통해 새로운 언어를 익히는 과정이 매일 신나는 경험이 됩니다.

주요 특징:

• 체계적인 단어 레슨: 어린이 눈높이에 맞춘 일상 주제별 어휘 학습.
• 다감각 두뇌 놀이: 그림 맞추기 퀴즈, 소리 연결, 마법 색상 혼합, 숨은 그림 찾기.
• 움직이는 친구 Lumi: 실시간으로 반응하며 성취를 축하해 주고 학습 흥미를 북돋아 주는 마스코트.
• 기기 내 학습 분석: 일일 연속 학습 기록, 퀴즈 점수, 어휘 기억 그래프를 오프라인으로 확인.
• 듣기 및 말하기 연습: 원어민 음성을 듣고 음성 인식 기능을 통해 직접 말해보는 쌍방향 훈련.
• 안심 아동 보호: 부모 잠금장치(Parental Gate) 적용, 불필요한 광고 없는 청정 환경.

가정에서 자녀에게 즐겁고 유익하게 외국어를 접하게 해주고 싶은 부모님께 최적의 선택입니다. 지금 Lumi를 다운로드하여 아이의 언어 여행을 시작해 보세요!"
"zh","Lumi: 儿童趣味语言启蒙","专为儿童设计的互动式外语词汇启蒙与益智学习游戏。","欢迎使用Lumi，一款专为儿童和初学者打造的互动式语言与词汇启蒙应用！

Lumi将早期语言认知与有趣的益智小游戏深度结合，帮助孩子们在英语、西班牙语、越南语、法语和德语等多门语言中建立扎实的基础。通过跟读发音、听力辨识、看图问答和趣味任务，探索一门新语言成为孩子每天期待的快乐旅程。

核心亮点：

• 系统化词汇课程：贴合儿童生活经验的主题设计，由浅入深循序渐进。
• 多感官互动小游戏：看图答题、声音配对、魔法调色盘以及趣味寻宝游戏。
• 生动吉祥物Lumi：可爱角色实时互动，为你每一次的进步欢呼鼓劲，保持学习兴趣。
• 本地学习记录：离线查看每日打卡天数、测试得分和词汇记忆曲线。
• 纯正听力与跟读：聆听标准清晰的发音，配合交互式口语练习培养语感。
• 纯净儿童安全环境：内置家长验证保护锁，无干扰性广告。

Lumi是家庭亲子启蒙的得力帮手。立即下载Lumi，陪伴孩子开启生动精彩的语言探索之旅吧！"
